Machine Name,Machine Type,Application Server,Application Name,Site Name,Account Name,Hard-Coded in File,Hard-Coded Credential,Password Length,Target System Address,Target System Type,OS Version,Details
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,server175,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,22,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,9,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,SHS,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,14,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,N/A,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,N/A,server61,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,17,CLE-DEV-SQL,Database,Windows Server 2012 R2 Standard,N/A
Server223.bovishomes.local,Server,IIS 8.5,AddressSearch,,,,,20,CLE-SQL,Database,Windows Server 2012 R2 Standard,N/A
